fold,n,qv_top1,allattn_top1,gain_pp,cluster_bootstrap_ci_low_pp,cluster_bootstrap_ci_high_pp,qv_wrong_allattn_right,qv_right_allattn_wrong,mcnemar_exact_p
0,1046,0.3240917782026769,0.3632887189292543,3.9196940726577423,0.39134179501788313,7.372842842010886,164,123,0.018065052870955247
1,1046,0.30401529636711283,0.35850860420650094,5.4493307839388105,2.129580378250593,8.783783783783782,165,108,0.0006731414108808667
2,1046,0.32122370936902483,0.4024856596558317,8.126195028680689,4.975167126788204,11.348873617621628,185,100,5.402671058641192e-07
3,1045,0.33014354066985646,0.3866028708133971,5.645933014354066,2.1779787885955115,9.108919248488299,173,114,0.0005937598514292332
4,1045,0.3263157894736842,0.3980861244019139,7.177033492822965,4.02604026665233,10.308457690842541,164,89,2.7996284755474335e-06
