condition,method,n,prevalence,brier,log_loss,ece_10_equal_frequency
qv,uncalibrated_beam_share,5228,0.32115531752104054,0.24797915386099584,0.7243310771363284,0.22334064204307869
qv,cross_fitted_logistic,5228,0.32115531752104054,0.1919907899912977,0.5670593629702223,0.011196776216664688
allattn,uncalibrated_beam_share,5228,0.3817903596021423,0.2752461553692506,0.8115334425773096,0.2525512542234677
allattn,cross_fitted_logistic,5228,0.3817903596021423,0.2037921346570766,0.5944528569764997,0.01780545961499414
