condition,k,n,hits,accuracy,incremental_hits_vs_top1,incremental_accuracy_pp_vs_top1,extra_candidate_slots_vs_top1,extra_slots_per_additional_hit,mrr_at_10
qv,1,5228,1679,0.32115531752104054,0,0.0,0,,0.47980410730984563
qv,3,5228,3092,0.5914307574598316,1413,27.02754399387911,10456,7.399858457183298,0.47980410730984563
qv,5,5228,3687,0.7052410099464422,2008,38.40856924254017,20912,10.414342629482071,0.47980410730984563
qv,10,5228,4218,0.8068094873756695,2539,48.565416985462896,47052,18.531705395825128,0.47980410730984563
allattn,1,5228,1996,0.3817903596021423,0,0.0,0,,0.5393585819943892
allattn,3,5228,3405,0.651300688599847,1409,26.951032899770468,10456,7.420865862313698,0.5393585819943892
allattn,5,5228,3998,0.7647283856159143,2002,38.293802601377195,20912,10.445554445554446,0.5393585819943892
allattn,10,5228,4462,0.8534812547819434,2466,47.169089517980105,47052,19.080291970802918,0.5393585819943892
