dimension,group,seed,n,qv_top1_percent,all_attention_top1_percent,top1_gain_pp,qv_top10_percent,all_attention_top10_percent,top10_gain_pp
molecular_weight_bin,150-249,7,343,41.39941690962099,44.606413994169095,3.2069970845481075,90.0874635568513,91.54518950437318,1.4577259475218707
molecular_weight_bin,150-249,123,343,35.8600583090379,47.23032069970846,11.370262390670554,88.33819241982506,90.67055393586006,2.3323615160349864
molecular_weight_bin,150-249,2026,343,38.48396501457726,42.565597667638485,4.081632653061224,86.88046647230321,90.96209912536443,4.081632653061218
molecular_weight_bin,250-349,7,255,28.627450980392155,34.90196078431372,6.2745098039215685,81.56862745098039,87.05882352941177,5.490196078431375
molecular_weight_bin,250-349,123,255,29.80392156862745,36.07843137254902,6.2745098039215685,80.7843137254902,89.01960784313725,8.23529411764705
molecular_weight_bin,250-349,2026,255,26.27450980392157,34.90196078431372,8.627450980392155,79.6078431372549,89.80392156862746,10.196078431372557
molecular_weight_bin,<150,7,31,12.903225806451612,29.03225806451613,16.12903225806452,45.16129032258064,61.29032258064516,16.12903225806452
molecular_weight_bin,<150,123,31,19.35483870967742,25.806451612903224,6.451612903225806,54.83870967741935,64.51612903225806,9.677419354838712
molecular_weight_bin,<150,2026,31,19.35483870967742,22.58064516129032,3.225806451612903,54.83870967741935,64.51612903225806,9.677419354838712
molecular_weight_bin,>=350,7,35,22.857142857142858,28.57142857142857,5.7142857142857135,57.14285714285714,74.28571428571429,17.14285714285715
molecular_weight_bin,>=350,123,35,22.857142857142858,42.857142857142854,20.0,60.0,65.71428571428571,5.714285714285716
molecular_weight_bin,>=350,2026,35,17.142857142857142,22.857142857142858,5.7142857142857135,57.14285714285714,60.0,2.857142857142858
max_mz_bin,100-199,7,313,34.82428115015975,38.019169329073485,3.194888178913735,84.98402555910543,89.1373801916933,4.153354632587858
max_mz_bin,100-199,123,313,33.22683706070288,43.45047923322684,10.223642172523961,85.3035143769968,89.45686900958466,4.153354632587858
max_mz_bin,100-199,2026,313,34.82428115015975,37.69968051118211,2.875399361022363,84.34504792332268,90.09584664536742,5.7507987220447365
max_mz_bin,200-299,7,299,36.45484949832776,43.47826086956522,7.023411371237459,84.94983277591973,87.62541806020067,2.6755852842809347
max_mz_bin,200-299,123,299,32.10702341137124,41.1371237458194,9.03010033444816,82.6086956521739,89.29765886287625,6.688963210702337
max_mz_bin,200-299,2026,299,30.434782608695656,40.13377926421405,9.698996655518394,80.2675585284281,87.95986622073578,7.692307692307687
max_mz_bin,300-399,7,50,18.0,24.0,6.0,62.0,80.0,18.000000000000004
max_mz_bin,300-399,123,50,26.0,36.0,9.999999999999998,66.0,68.0,2.0000000000000018
max_mz_bin,300-399,2026,50,22.0,24.0,1.9999999999999991,68.0,74.0,5.999999999999995
max_mz_bin,400-500,7,1,0.0,0.0,0.0,0.0,0.0,0.0
max_mz_bin,400-500,123,1,0.0,0.0,0.0,0.0,0.0,0.0
max_mz_bin,400-500,2026,1,0.0,0.0,0.0,0.0,0.0,0.0
max_mz_bin,<100,7,1,0.0,0.0,0.0,0.0,0.0,0.0
max_mz_bin,<100,123,1,0.0,0.0,0.0,0.0,0.0,0.0
max_mz_bin,<100,2026,1,0.0,0.0,0.0,0.0,0.0,0.0
peak_count_bin,25-49,7,376,35.1063829787234,42.5531914893617,7.446808510638298,84.04255319148936,89.62765957446808,5.585106382978722
peak_count_bin,25-49,123,376,35.638297872340424,47.07446808510639,11.436170212765962,84.57446808510637,88.82978723404256,4.255319148936176
peak_count_bin,25-49,2026,376,34.57446808510639,39.361702127659576,4.78723404255319,83.77659574468085,89.62765957446808,5.85106382978724
peak_count_bin,50-99,7,220,35.45454545454545,35.90909090909091,0.4545454545454519,83.63636363636363,87.72727272727273,4.090909090909101
peak_count_bin,50-99,123,220,26.81818181818182,35.0,8.18181818181818,82.72727272727273,87.27272727272727,4.545454545454541
peak_count_bin,50-99,2026,220,29.545454545454547,37.27272727272727,7.727272727272727,78.63636363636364,86.81818181818181,8.18181818181818
