condition,seed,n,strict_top1_percent,strict_top10_percent,connectivity_top1_percent,connectivity_top10_percent,stereo_gap_top1_count,stereo_gap_top1_percent,top10_rescue_count,top10_rescue_percent,invalid_top1_count,invalid_candidates_in_top10
all_attention,7,664,39.30722891566265,87.5,39.30722891566265,88.85542168674698,0,0.0,320,48.19277108433735,0,0
all_attention,123,664,41.71686746987952,87.5,41.86746987951807,88.70481927710844,1,0.15060240963855423,304,45.78313253012048,0,0
all_attention,2026,664,37.65060240963856,87.65060240963855,37.65060240963856,88.85542168674698,0,0.0,332,50.0,0,0
qv,7,664,34.18674698795181,82.98192771084338,34.63855421686747,84.1867469879518,3,0.4518072289156626,324,48.795180722891565,0,0
qv,123,664,32.07831325301205,82.37951807228916,32.53012048192771,83.58433734939759,3,0.4518072289156626,334,50.30120481927711,0,0
qv,2026,664,31.77710843373494,81.02409638554217,31.77710843373494,82.2289156626506,0,0.0,327,49.24698795180723,0,0
